['201911089', [0.38, 0.62, 441], [0.49, 0.51, 43], [0.89, 0.11, 83], [0.26, 0.03, 0.13, 0.58, 38], [1], [1, 160, 0, 9]]
['201911091', [0.26, 0.74, 264], [0.45, 0.55, 55], [0.88, 0.12, 56], [0.31, 0.0, 0.04, 0.65, 26], [1], [20, 153, 1, 7]]
['201911092', [0.36, 0.64, 329], [0.6, 0.4, 43], [0.91, 0.09, 87], [0.5, 0.03, 0.09, 0.38, 32], [1], [3, 142, 1, 8]]
['201911093', [0.25, 0.75, 230], [0.33, 0.67, 12], [1.0, 0.0, 10], [1.0, 0.0, 0.0, 0.0, 1], [4], [1, 63, 0, 0]]
['201911094', [0.35, 0.65, 468], [0.67, 0.33, 45], [0.9, 0.1, 72], [0.13, 0.0, 0.4, 0.47, 47], [2], [4, 161, 0, 7]]
['201911096', [0.24, 0.76, 312], [0.17, 0.83, 24], [0.96, 0.04, 55], [0.07, 0.0, 0.42, 0.51, 43], [0], [5, 108, 0, 2]]
['201911099', [0.37, 0.63, 257], [0.38, 0.62, 34], [0.82, 0.18, 65], [0.42, 0.04, 0.0, 0.54, 26], [0], [2, 122, 0, 12]]
['201911100', [0.14, 0.86, 435], [0.53, 0.47, 53], [0.84, 0.16, 87], [0.06, 0.0, 0.38, 0.57, 53], [2], [2, 166, 1, 14]]
['201911101', [0.52, 0.48, 261], [0.48, 0.52, 33], [0.85, 0.15, 53], [0.33, 0.33, 0.0, 0.33, 15], [5], [4, 117, 3, 8]]
['201911102', [0.25, 0.75, 351], [0.69, 0.31, 29], [0.89, 0.11, 61], [0.33, 0.0, 0.09, 0.58, 33], [1], [2, 132, 0, 7]]
['201911103', [0.29, 0.71, 378], [0.29, 0.71, 34], [0.87, 0.13, 69], [0.04, 0.0, 0.42, 0.54, 50], [2], [0, 148, 0, 9]]
['201911104', [0.88, 0.12, 16], [0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0], [0], [0, 0, 0, 0]]
['201911105', [0.21, 0.79, 317], [0.8, 0.2, 44], [0.86, 0.14, 49], [0.21, 0.0, 0.49, 0.31, 39], [0], [1, 110, 0, 7]]
['201911106', [0.35, 0.65, 355], [0.61, 0.39, 36], [0.87, 0.13, 53], [0.13, 0.05, 0.56, 0.26, 39], [1], [2, 115, 2, 7]]
['201911107', [0.46, 0.54, 180], [0.54, 0.46, 24], [0.92, 0.08, 25], [0.14, 0.0, 0.64, 0.21, 28], [1], [0, 55, 0, 2]]
['201911108', [0.45, 0.55, 371], [0.61, 0.39, 28], [0.9, 0.1, 39], [0.16, 0.0, 0.47, 0.37, 38], [2], [2, 99, 0, 4]]
['201911109', [0.17, 0.83, 430], [0.44, 0.56, 25], [0.89, 0.11, 75], [0.28, 0.0, 0.35, 0.37, 54], [2], [0, 149, 0, 8]]
['201911110', [0.16, 0.84, 344], [0.39, 0.61, 38], [0.89, 0.11, 55], [0.47, 0.0, 0.12, 0.41, 17], [0], [4, 115, 0, 6]]
['201911112', [0.15, 0.85, 486], [0.21, 0.79, 47], [0.94, 0.06, 101], [0.78, 0.12, 0.0, 0.09, 32], [0], [2, 164, 0, 6]]
['201911113', [0.2, 0.8, 362], [0.52, 0.48, 33], [0.88, 0.12, 65], [0.14, 0.0, 0.03, 0.83, 29], [2], [0, 141, 0, 8]]
['201911114', [0.36, 0.64, 417], [0.64, 0.36, 45], [0.86, 0.14, 49], [0.25, 0.15, 0.0, 0.6, 20], [3], [18, 133, 0, 7]]
['201911116', [0.2, 0.8, 239], [0.75, 0.25, 48], [0.82, 0.18, 39], [0.64, 0.0, 0.14, 0.21, 14], [1], [2, 96, 0, 7]]
['201911117', [0.31, 0.69, 457], [0.53, 0.47, 38], [0.87, 0.13, 68], [0.11, 0.0, 0.41, 0.48, 46], [2], [0, 159, 0, 9]]
['201911118', [0.29, 0.71, 442], [0.26, 0.74, 27], [0.88, 0.12, 76], [0.25, 0.16, 0.0, 0.59, 32], [2], [0, 149, 0, 9]]
['201911119', [0.35, 0.65, 375], [0.5, 0.5, 34], [0.92, 0.08, 75], [0.4, 0.07, 0.0, 0.53, 15], [4], [1, 157, 0, 6]]
['201911122', [0.28, 0.72, 542], [0.61, 0.39, 31], [0.89, 0.11, 80], [0.34, 0.02, 0.34, 0.31, 59], [2], [5, 188, 0, 9]]
['201911123', [0.24, 0.76, 392], [0.41, 0.59, 41], [0.9, 0.1, 72], [0.56, 0.03, 0.03, 0.38, 34], [1], [1, 158, 0, 7]]
['201911124', [0.27, 0.73, 291], [0.59, 0.41, 37], [0.89, 0.11, 55], [0.15, 0.0, 0.69, 0.15, 13], [0], [0, 109, 0, 6]]
['201911126', [0.28, 0.72, 294], [0.67, 0.33, 42], [0.92, 0.08, 65], [0.65, 0.29, 0.0, 0.06, 17], [1], [0, 151, 0, 5]]
['201911127', [0.23, 0.77, 269], [0.61, 0.39, 31], [0.85, 0.15, 59], [0.2, 0.13, 0.33, 0.33, 15], [2], [5, 113, 3, 9]]
['201911128', [0.45, 0.55, 364], [0.53, 0.47, 30], [0.88, 0.12, 68], [0.48, 0.04, 0.09, 0.39, 23], [1], [12, 137, 0, 8]]
['201911129', [0.44, 0.56, 198], [0.39, 0.61, 23], [0.82, 0.18, 45], [0.2, 0.0, 0.0, 0.8, 10], [1], [0, 95, 0, 8]]
['201911130', [0.29, 0.71, 173], [0.74, 0.26, 19], [0.92, 0.08, 26], [0.25, 0.5, 0.0, 0.25, 4], [0], [8, 73, 0, 2]]
['201911131', [0.29, 0.71, 430], [0.76, 0.24, 42], [0.83, 0.17, 71], [0.15, 0.0, 0.42, 0.44, 55], [2], [4, 155, 1, 12]]
['201911132', [0.2, 0.8, 391], [0.64, 0.36, 36], [0.88, 0.12, 73], [0.19, 0.04, 0.0, 0.78, 27], [2], [0, 146, 0, 9]]
['201911133', [0.24, 0.76, 440], [0.46, 0.54, 41], [0.89, 0.11, 83], [0.49, 0.0, 0.0, 0.51, 41], [0], [1, 166, 0, 9]]
['201911134', [0.32, 0.68, 306], [0.5, 0.5, 34], [0.88, 0.12, 56], [0.27, 0.0, 0.54, 0.19, 37], [1], [1, 104, 0, 7]]
['201911135', [0.19, 0.81, 320], [0.28, 0.72, 29], [0.92, 0.08, 64], [0.12, 0.0, 0.37, 0.51, 49], [0], [4, 142, 0, 5]]
['201911136', [0.24, 0.76, 407], [0.43, 0.57, 69], [0.88, 0.12, 74], [0.05, 0.0, 0.27, 0.68, 22], [1], [3, 178, 1, 9]]
['201911137', [0.19, 0.81, 479], [0.66, 0.34, 32], [0.87, 0.13, 75], [0.3, 0.0, 0.3, 0.39, 33], [3], [0, 163, 0, 10]]
['201911138', [0.47, 0.53, 281], [0.71, 0.29, 42], [0.86, 0.14, 57], [0.31, 0.0, 0.04, 0.65, 26], [2], [7, 143, 0, 8]]
['201911139', [0.27, 0.73, 329], [0.42, 0.58, 26], [0.92, 0.08, 65], [0.0, 0.0, 0.0, 1.0, 12], [1], [35, 125, 0, 5]]
['201911140', [0.24, 0.76, 393], [0.58, 0.42, 52], [0.9, 0.1, 81], [0.07, 0.05, 0.57, 0.31, 42], [0], [3, 158, 0, 8]]
['201911141', [0.35, 0.65, 407], [0.69, 0.31, 35], [0.88, 0.12, 80], [0.32, 0.0, 0.12, 0.56, 41], [2], [1, 175, 0, 10]]
['201911142', [0.36, 0.64, 340], [0.5, 0.5, 30], [0.9, 0.1, 60], [0.3, 0.0, 0.0, 0.7, 20], [0], [1, 121, 0, 6]]
['201911143', [0.16, 0.84, 380], [0.41, 0.59, 34], [0.92, 0.08, 79], [0.23, 0.0, 0.05, 0.72, 40], [0], [0, 185, 0, 6]]
['201911144', [0.19, 0.81, 302], [0.7, 0.3, 30], [0.86, 0.14, 57], [0.16, 0.0, 0.38, 0.47, 64], [2], [6, 127, 0, 8]]
['201911146', [0.4, 0.6, 144], [0.28, 0.72, 18], [0.89, 0.11, 37], [0.14, 0.0, 0.0, 0.86, 14], [0], [0, 82, 0, 4]]
['201911147', [0.21, 0.79, 468], [0.47, 0.53, 38], [0.87, 0.13, 68], [0.21, 0.0, 0.33, 0.46, 61], [2], [3, 167, 0, 9]]
['201911148', [0.21, 0.79, 378], [0.53, 0.47, 30], [0.82, 0.18, 55], [0.5, 0.0, 0.17, 0.33, 12], [1], [0, 146, 0, 10]]
['201911149', [0.14, 0.86, 437], [0.57, 0.43, 21], [0.86, 0.14, 65], [0.41, 0.06, 0.24, 0.29, 17], [1], [0, 147, 0, 9]]
['201911150', [0.2, 0.8, 451], [0.48, 0.52, 46], [0.81, 0.19, 89], [0.2, 0.3, 0.0, 0.5, 30], [0], [2, 182, 1, 17]]
['201911151', [0.37, 0.63, 210], [0.84, 0.16, 32], [0.76, 0.24, 41], [0.25, 0.0, 0.0, 0.75, 4], [0], [29, 79, 0, 10]]
['201911152', [0.5, 0.5, 110], [0.85, 0.15, 13], [0.94, 0.06, 18], [0, 0, 0, 0, 0], [1], [3, 46, 0, 1]]
['201911153', [0.19, 0.81, 511], [0.33, 0.67, 39], [0.87, 0.13, 63], [0.2, 0.02, 0.38, 0.41, 56], [3], [1, 160, 0, 8]]
['201911154', [0.22, 0.78, 367], [0.42, 0.58, 26], [0.81, 0.19, 68], [0.68, 0.13, 0.0, 0.19, 31], [5], [1, 149, 1, 13]]
['201911155', [0.27, 0.73, 392], [0.61, 0.39, 28], [0.86, 0.14, 72], [0.39, 0.03, 0.13, 0.45, 38], [1], [2, 160, 0, 10]]
['201911156', [0.33, 0.67, 351], [0.55, 0.45, 33], [0.82, 0.18, 62], [0.2, 0.0, 0.1, 0.7, 30], [1], [14, 151, 0, 11]]
['201911157', [0.35, 0.65, 276], [0.85, 0.15, 26], [0.98, 0.02, 44], [0.0, 0.0, 0.14, 0.86, 7], [1], [1, 85, 0, 1]]
